date,team,points,assists,biggest lead,blocks,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,lead changes,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points in the paint,rebounds,rest,site,site streak,steals,streak,team rebounds,three pointers attempted,three pointers made,times tied,total,turnovers,wins,o:team,o:points,o:assists,o:biggest lead,o:blocks,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:losses,margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:points in the paint,o:rebounds,o:rest,o:site,o:site streak,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:turnovers,o:wins,season
20091120,Warriors,108,21,20,6,26,36,84,40,28,27,21,12,5,8,14,-8,8,4,0,0,11,0,44,37,1,home,-5,15,-3,12,13,7,2,206.0,16,3,Trailblazers,94,18,11,6,28,9,79,33,23,30,24,4,14,8,-8,-4,0,0,17,38,45,1,away,1,7,1,8,19,4,23,9,2009
20091121,Cavaliers,97,24,16,6,37,13,75,36,18,21,17,14,8,4,6,13,-6,3,0,0,8,0,36,45,0,home,-2,3,1,4,20,8,7,191.5,11,9,Seventysixers,91,20,6,4,29,24,88,37,18,16,12,7,6,-13,6,-3,0,0,13,46,42,0,away,2,8,-1,7,19,5,10,5,2009
20091121,Grizzlies,98,18,12,6,36,16,80,37,19,29,21,13,14,8,-5,10,-4,5,0,0,11,0,54,47,0,home,-1,8,3,5,14,3,9,196.5,16,4,Bucks,103,23,8,2,35,17,83,38,23,24,18,3,-5,-10,4,-5,0,0,6,30,41,0,away,6,7,2,9,25,9,13,7,2009
20091121,Pelicans,96,22,14,9,35,19,85,37,16,17,10,14,1,8,8,3,11,7,1,0,13,0,32,48,1,home,2,3,2,12,17,12,1,203.5,12,5,Hawks,88,15,8,7,32,13,94,35,17,17,14,2,8,-3,-11,-7,0,1,20,40,52,0,away,4,5,7,5,22,4,6,11,2009
20091121,Jazz,100,26,6,5,26,19,73,32,20,44,33,13,17,6,3,3,-4,-4,0,0,8,0,34,34,1,home,-1,11,2,15,11,3,12,191.0,15,6,Pistons,97,15,8,4,31,13,80,36,28,25,21,7,3,-3,4,4,0,0,9,44,40,2,away,-2,11,-3,11,15,4,15,5,2009
20091121,Nets,91,18,7,7,31,18,90,37,21,19,13,13,1,12,-7,-5,-7,-9,0,0,14,0,48,45,2,home,-1,5,-12,7,18,4,1,194.0,13,0,Knicks,98,20,15,4,36,20,80,34,15,28,22,9,-7,5,7,9,0,0,11,42,47,2,away,-1,8,1,12,23,8,15,2,2009
20091121,Nuggets,112,23,25,7,36,17,86,42,21,26,21,13,8,4,19,-13,4,-3,0,1,11,0,52,47,0,home,-1,6,-1,9,25,7,6,207.5,12,8,Bulls,93,19,14,5,31,20,81,36,16,24,19,5,19,13,-4,3,1,0,10,34,41,1,away,-2,7,-1,2,11,2,16,6,2009
20091121,Rockets,113,20,15,5,30,21,90,43,19,26,24,14,14,6,7,6,-4,7,1,0,12,0,66,42,0,home,-2,8,-1,5,18,3,14,206.0,8,7,Kings,106,24,5,4,29,17,85,43,23,17,13,6,7,-6,4,-7,0,1,9,56,38,0,away,-1,5,-2,10,16,7,14,5,2009
20091121,Spurs,106,32,30,7,47,14,86,40,22,21,16,11,4,6,22,6,22,12,0,0,12,0,30,59,1,home,1,3,-3,7,21,10,2,192.0,8,4,Wizards,84,12,3,6,33,10,84,28,14,34,24,8,22,-6,-22,-12,0,0,11,26,44,0,away,-1,6,-1,7,19,4,9,3,2009
20091121,Trailblazers,106,28,29,5,33,4,78,39,20,28,18,15,7,5,28,9,13,3,0,2,15,0,38,48,0,home,-1,2,-1,9,24,10,3,186.5,9,9,Timberwolves,78,11,2,2,24,2,77,29,28,18,18,11,28,-9,-13,-3,2,0,10,38,34,2,away,1,4,-11,6,9,2,10,1,2009
20091122,Hornets,104,22,22,4,35,14,82,41,21,28,21,13,3,9,16,8,21,11,0,0,11,0,46,46,1,home,-3,13,-7,9,10,1,7,187.0,15,3,Pacers,88,15,4,8,27,9,78,32,22,24,19,5,16,-8,-21,-11,0,0,9,42,36,1,away,2,8,-2,8,22,5,18,5,2009
20091122,Heat,102,21,12,8,38,16,71,37,20,28,21,13,12,5,1,5,3,7,0,0,4,0,46,42,1,home,-2,2,-3,9,13,7,6,194.0,14,7,Pelicans,101,22,4,3,30,11,91,36,25,19,17,8,1,-5,-3,-7,0,0,11,38,41,0,away,3,7,3,6,28,12,9,6,2009
20091122,Knicks,105,19,8,4,34,7,88,38,25,24,19,13,14,9,-2,-8,5,-3,0,0,11,0,38,45,0,home,-2,7,2,8,30,10,14,195.5,18,3,Celtics,107,21,14,8,37,5,84,35,28,35,27,4,-2,8,-5,3,0,0,11,38,48,1,away,2,11,-1,11,25,10,16,9,2009
